0019-内閣_100011860_1	0	1030	1070	I	やまぶき	山吹	ヤマブキ	名詞-普通名詞-一般			ヤマブキ	和	やまふき
0019-内閣_100011860_1	0	1070	1080	I	は	は	ハ	助詞-係助詞			ワ	和	は
0019-内閣_100011860_1	0	1080	1100	I	井で	イデ	イデ	名詞-固有名詞-地名-一般			イデ	固	井て
0019-内閣_100011860_1	0	1100	1110	I	の	の	ノ	助詞-格助詞			ノ	和	の
0019-内閣_100011860_1	0	1110	1140	I	わたり	辺り	ワタリ	名詞-普通名詞-一般			ワタリ	和	わたり
0019-内閣_100011860_1	0	1140	1150	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和	に
0019-内閣_100011860_1	0	1150	1160	I	や	や	ヤ	助詞-係助詞			ヤ	和	や
0019-内閣_100011860_1	0	1160	1170	I	と	と	ト	助詞-格助詞			ト	和	と
0019-内閣_100011860_1	0	1170	1190	I	みえ	見える	ミエル	動詞-一般	文語下二段-ヤ行	連用形-一般	ミエ	和	みえ
0019-内閣_100011860_1	0	1190	1210	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和	たり
0019-内閣_100011860_1	0	1210	1220	B	光	ヒカル	ヒカル	名詞-固有名詞-人名-一般			ヒカル	固	光
0019-内閣_100011860_1	0	1220	1230	I	源	ゲン	ゲン	名詞-固有名詞-人名-姓			ゲン	固	源
0019-内閣_100011860_1	0	1230	1240	I	氏	氏	シ	接尾辞-名詞的-一般			ジ	漢	氏
0019-内閣_100011860_1	0	1240	1250	I	の	の	ノ	助詞-格助詞			ノ	和	の
0019-内閣_100011860_1	0	1250	1260	I	身	身	ミ	名詞-普通名詞-一般			ミ	和	身
0019-内閣_100011860_1	0	1260	1270	I	も	も	モ	助詞-係助詞			モ	和	も
0019-内閣_100011860_1	0	1270	1290	I	なげ	投げる	ナゲル	動詞-一般	文語下二段-ガ行	連用形-一般	ナゲ	和	なけ
0019-内閣_100011860_1	0	1290	1300	I	つ	つ	ツ	助動詞	文語助動詞-ツ	終止形-一般	ツ	和	つ
0019-内閣_100011860_1	0	1300	1320	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和	へき
0019-内閣_100011860_1	0	1320	1330	I	と	と	ト	助詞-格助詞			ト	和	と
0019-内閣_100011860_1	0	1330	1350	I	の給	宣う	ノタマウ	動詞-一般	文語四段-ハ行	連用形-一般	ノタマイ	和	の給
0019-内閣_100011860_1	0	1350	1370	I	けん	けむ	ケム	助動詞	文語助動詞-ケム	連体形-撥音便	ケン	和	けん
0019-内閣_100011860_1	0	1370	1380	I	も	も	モ	助詞-係助詞			モ	和	も
0019-内閣_100011860_1	0	1380	1400	I	かく	斯く	カク	副詞			カク	和	かく
0019-内閣_100011860_1	0	1400	1410	I	や	や	ヤ	助詞-係助詞			ヤ	和	や
0019-内閣_100011860_1	0	1410	1420	I	と	と	ト	助詞-格助詞			ト	和	と
0019-内閣_100011860_1	0	1420	1450	I	ひとり	一人	ヒトリ	名詞-普通名詞-副詞可能			ヒトリ	和	ひとり
0019-内閣_100011860_1	0	1450	1460	I	み	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和	み
0019-内閣_100011860_1	0	1460	1490	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和	たまふ
0019-内閣_100011860_1	0	1490	1500	I	も	も	モ	助詞-係助詞			モ	和	も
0019-内閣_100011860_1	0	1500	1520	I	あか	飽く	アク	動詞-一般	文語四段-カ行	未然形-一般	アカ	和	あか
0019-内閣_100011860_1	0	1520	1530	I	ね	ず	ズ	助動詞	文語助動詞-ズ	已然形-一般	ネ	和	ね
0019-内閣_100011860_1	0	1530	1540	I	ば	ば	バ	助詞-接続助詞			バ	和	は
0019-内閣_100011860_1	0	1540	1610	I	さぶらひわらは	侍童	サブライワラワ	名詞-普通名詞-一般			サブライワラワ	和	さふらひわらは
0019-内閣_100011860_1	0	1610	1620	I	の	の	ノ	助詞-格助詞			ノ	和	の
0019-内閣_100011860_1	0	1620	1650	I	おかし	可笑しい	オカシイ	形容詞-一般	文語形容詞-シク	語幹-一般	オカシ	和	おかし
0019-内閣_100011860_1	0	1650	1660	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和	け
0019-内閣_100011860_1	0	1660	1680	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和	なる
0019-内閣_100011860_1	0	1680	1720	I	ちいさき	小さい	チイサイ	形容詞-一般	文語形容詞-ク	連体形-一般	チーサキ	和	ちいさき
0019-内閣_100011860_1	0	1720	1730	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和	し
0019-内閣_100011860_1	0	1730	1740	I	て	て	テ	助詞-接続助詞			テ	和	て
0019-内閣_100011860_1	0	1740	1760	I	ひと	一	ヒト	名詞-数詞			ヒト	和	ひと
0019-内閣_100011860_1	0	1760	1780	I	えだ	枝	エダ	名詞-普通名詞-一般			エダ	和	えた
0019-内閣_100011860_1	0	1780	1800	I	をら	折る	オル	動詞-一般	文語四段-ラ行	未然形-一般	オラ	和	をら
0019-内閣_100011860_1	0	1800	1810	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和	せ
0019-内閣_100011860_1	0	1810	1820	I	給	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和	給
0019-内閣_100011860_1	0	1820	1830	I	て	て	テ	助詞-接続助詞			テ	和	て
0019-内閣_100011860_1	0	1830	1850	I	げん	ゲン	ゲン	名詞-固有名詞-人名-姓			ゲン	固	けん
0019-内閣_100011860_1	0	1850	1860	I	じ	氏	シ	接尾辞-名詞的-一般			ジ	漢	し
0019-内閣_100011860_1	0	1860	1870	I	の	の	ノ	助詞-格助詞			ノ	和	の
0019-内閣_100011860_1	0	1870	1890	I	みや	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和	みや
0019-内閣_100011860_1	0	1890	1900	I	の	の	ノ	助詞-格助詞			ノ	和	の
0019-内閣_100011860_1	0	1900	1910	I	御	御	オオン	接頭辞			オオン	和	御
0019-内閣_100011860_1	0	1910	1930	I	かた	方	カタ	名詞-普通名詞-助数詞可能			カタ	和	かた
0019-内閣_100011860_1	0	1930	1940	I	に	に	ニ	助詞-格助詞			ニ	和	に
0019-内閣_100011860_1	0	1940	1950	I	も	持つ	モツ	動詞-一般	文語四段-タ行	連用形-促音便	モッ	和	も
0019-内閣_100011860_1	0	1950	1960	I	て	て	テ	助詞-接続助詞			テ	和	て
0019-内閣_100011860_1	0	1960	1990	I	まいり	参る	マイル	動詞-非自立可能	文語四段-ラ行	連用形-一般	マイリ	和	まいり
